"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2024*"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"17507,3";"14480,6";"100";"45,3";"39,8";"42,2";"34,3"
"Groningen (PV)";"580,2";"488,6";"100";"38,4";"35,8";"36,8";"30,6"
"Fryslân (PV)";"646,2";"536,5";"100";"40,5";"37,4";"37,0";"31,4"
"Drenthe (PV)";"490,7";"410,8";"100";"42,2";"38,9";"38,8";"32,8"
"Overijssel (PV)";"1163,0";"964,3";"100";"43,5";"39,2";"38,6";"32,8"
"Flevoland (PV)";"441,4";"351,3";"100";"42,6";"39,6";"41,5";"35,3"
"Gelderland (PV)";"2096,3";"1742,6";"100";"44,5";"39,9";"40,4";"33,7"
"Utrecht (PV)";"1371,6";"1119,5";"100";"48,7";"42,7";"46,3";"37,8"
"Noord-Holland (PV)";"2904,0";"2398,0";"100";"49,0";"40,6";"46,5";"36,1"
"Zuid-Holland (PV)";"3744,7";"3049,8";"100";"45,3";"39,6";"43,2";"34,9"
"Zeeland (PV)";"383,4";"319,2";"100";"43,6";"38,8";"39,8";"32,8"
"Noord-Brabant (PV)";"2587,8";"2163,9";"100";"46,1";"40,7";"41,9";"34,5"
"Limburg (PV)";"1098,2";"935,9";"100";"41,8";"38,1";"38,8";"32,0"
"Amsterdam";"898,5";"747,8";"100";"47,8";"37,0";"49,3";"36,2"
"'s-Gravenhage (gemeente)";"544,8";"436,2";"100";"43,1";"36,7";"43,9";"33,7"
"Rotterdam";"647,8";"527,3";"100";"40,4";"34,7";"40,6";"32,0"
"Utrecht (gemeente)";"365,4";"299,5";"100";"45,1";"41,3";"47,0";"39,3"
"Bron: CBS"
