"Inkomen van personen; persoonskenmerken, regio (indeling 2025)"
"Geslacht: Totaal mannen en vrouwen"
"Persoonskenmerken: Totaal personen"
"Perioden: 2021"
"";"Onderwerp"
"";"Personen";"Personen met persoonlijk inkomen";"Aandeel personen";"Gemiddeld gestandaardiseerd inkomen";"Mediaan gestandaardiseerd inkomen";"Gemiddeld persoonlijk inkomen";"Mediaan persoonlijk inkomen"
"Regio's";"x 1 000";"x 1 000";"%";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"17098,8";"13960,8";"100";"36,1";"32,4";"35,7";"28,1"
"Groningen (PV)";"569,3";"471,6";"100";"31,6";"29,1";"31,0";"25,0"
"Fryslân (PV)";"637,2";"521,8";"100";"32,7";"30,4";"31,0";"25,6"
"Drenthe (PV)";"483,4";"399,4";"100";"34,1";"31,5";"32,6";"26,6"
"Overijssel (PV)";"1143,4";"934,0";"100";"34,4";"31,7";"32,4";"26,7"
"Flevoland (PV)";"420,3";"330,8";"100";"34,5";"32,0";"34,6";"28,6"
"Gelderland (PV)";"2050,3";"1680,6";"100";"35,5";"32,5";"34,1";"27,6"
"Utrecht (PV)";"1336,2";"1073,8";"100";"39,1";"35,0";"39,6";"31,3"
"Noord-Holland (PV)";"2826,8";"2306,7";"100";"38,8";"33,2";"39,5";"29,5"
"Zuid-Holland (PV)";"3644,8";"2927,8";"100";"36,0";"32,3";"36,6";"28,6"
"Zeeland (PV)";"378,1";"312,4";"100";"35,0";"32,0";"33,5";"26,9"
"Noord-Brabant (PV)";"2524,8";"2085,6";"100";"36,5";"33,2";"35,4";"28,3"
"Limburg (PV)";"1084,2";"916,3";"100";"33,8";"31,1";"32,6";"26,2"
"Amsterdam";"866,2";"710,4";"100";"38,0";"30,0";"42,0";"29,4"
"'s-Gravenhage (gemeente)";"529,7";"415,6";"100";"34,8";"29,7";"36,9";"27,3"
"Rotterdam";"633,7";"509,1";"100";"32,2";"27,9";"33,9";"25,8"
"Utrecht (gemeente)";"351,6";"282,1";"100";"36,7";"33,9";"40,1";"33,2"
"Bron: CBS"
